        wavelength                  f_lam                  e_lam              telcor
 3672.399999999994  3.930899536567395e-15 2.1575814452803255e-16                 1.0
 3673.099999999994 3.6189122046350026e-15  2.128907530072797e-16                 1.0
 3673.799999999994  3.729642154718415e-15 2.1158614703787636e-16                 1.0
3674.4999999999936  3.760012885946307e-15  2.115701007067783e-16                 1.0
3675.1999999999935 3.3971253500329457e-15 2.0935137635650775e-16                 1.0
3675.8999999999933  3.893795872563778e-15  2.106678956235895e-16                 1.0
 3676.599999999993   3.59677857006571e-15 2.0584403666978323e-16                 1.0
 3677.299999999993 3.4691870327325325e-15  2.071125471303031e-16                 1.0
3677.9999999999927  3.349487386239276e-15 2.0671745543960536e-16                 1.0
3678.6999999999925 3.3660832708908916e-15  2.056347664611411e-16                 1.0
3679.3999999999924  3.580245425257053e-15 2.0473501831778004e-16                 1.0
 3680.099999999992  3.637661970998054e-15 2.0517139343644289e-16                 1.0
 3680.799999999992  3.474363658141279e-15 2.0458196054049865e-16                 1.0
 3681.499999999992 3.3435888366359963e-15 2.0162608303817794e-16                 1.0
3682.1999999999916   3.73949950246103e-15  2.039427800911105e-16                 1.0
3682.8999999999915  3.553407588791628e-15 2.0242801812591683e-16                 1.0
3683.5999999999913  3.612875209342527e-15  2.035062113052785e-16                 1.0
 3684.299999999991 3.4656035268270664e-15 2.0066074536606935e-16                 1.0
 3684.999999999991 3.4802204370037157e-15 2.0090378848184853e-16                 1.0
3685.6999999999907  3.758867635158461e-15 2.0072901066926515e-16                 1.0
3686.3999999999905 3.5162534555894294e-15  2.001643939193639e-16                 1.0
3687.0999999999904  3.447268504508721e-15 1.9979483756571796e-16                 1.0
  3687.79999999999  4.006026320735019e-15 1.9825702531995536e-16                 1.0
  3688.49999999999 3.3756323709812443e-15 1.9982960940225683e-16                 1.0
  3689.19999999999 3.2201031683434203e-15 1.9788304291416294e-16                 1.0
3689.8999999999896 3.5073932175999694e-15  1.992919019934275e-16                 1.0
3690.5999999999894 3.5956583408962975e-15   1.98950005265354e-16                 1.0
3691.2999999999893 3.3657129759399754e-15 1.9887370643985536e-16                 1.0
 3691.999999999989  3.298031643973221e-15  1.981060482509894e-16                 1.0
 3692.699999999989 3.4553712511005226e-15  1.949545744092961e-16                 1.0
3693.3999999999887 3.4695913698593143e-15 1.9500331137003451e-16                 1.0
3694.0999999999885  3.695469240219419e-15  1.939297314258874e-16                 1.0
3694.7999999999884   3.65662435093785e-15  1.972631203412323e-16                 1.0
 3695.499999999988 3.5308702984663527e-15  1.954812100949666e-16                 1.0
 3696.199999999988  3.762124235526832e-15 1.9447800393223426e-16                 1.0
 3696.899999999988  3.638975066648635e-15 1.9419933717678483e-16                 1.0
3697.5999999999876 3.4645820434547166e-15  1.918823897346516e-16                 1.0
3698.2999999999874  3.125554912645165e-15 1.9066631503485525e-16                 1.0
3698.9999999999873 3.2133856947418085e-15 1.9209801532187368e-16                 1.0
 3699.699999999987 3.3017907636422195e-15   1.94373066758834e-16                 1.0
 3700.399999999987 3.1506124265160626e-15 1.9274980710913045e-16                 1.0
3701.0999999999867   3.58817873763483e-15 1.9218653318030394e-16                 1.0
3701.7999999999865  3.609530832795073e-15 1.9111629614364988e-16                 1.0
3702.4999999999864  3.539557619705333e-15 1.9046719696735723e-16                 1.0
 3703.199999999986 3.2662893559458267e-15 1.8849221274635135e-16                 1.0
 3703.899999999986  3.563317598054741e-15 1.8682419932563316e-16                 1.0
 3704.599999999986 3.5122584042005927e-15 1.8763346435042333e-16                 1.0
3705.2999999999856 3.5297410096886684e-15 1.8638580631027565e-16                 1.0
3705.9999999999854 3.2501614812793755e-15  1.860953145058759e-16                 1.0
3706.6999999999853  3.515016735081708e-15 1.8749593958742082e-16                 1.0
 3707.399999999985 3.5157111674571032e-15 1.8660990941952058e-16                 1.0
 3708.099999999985   3.30636602952957e-15  1.861886318237639e-16                 1.0
3708.7999999999847 3.2320970083596998e-15  1.825261588487518e-16                 1.0
3709.4999999999845  3.496101452235905e-15 1.8462911290355796e-16                 1.0
3710.1999999999844  3.611038473628442e-15   1.82403677382079e-16                 1.0
 3710.899999999984 3.6412528885499285e-15 1.8550509307860566e-16                 1.0
 3711.599999999984 3.2079983890228123e-15  1.839830297948405e-16                 1.0
