Species	Relative Flux
O2 3726	10.39903
O2 3728	8.86740
O2 3729	8.86740
HEta	7.54992
Ne3 3868	89.03898
He1 3889	12.15951
HZeta	10.79336
Ne3 3968	27.02452
HEpsilon	16.28301
HDelta	26.21848
HGamma	47.58063
O3 4363	19.55155
He1 4471	0.51139
He2 4685	5.08027
Ar4 4711	3.66771
HBeta	100.00000
O3 4961	372.91347
O3 5007	1112.61804
He1 5876	12.77929
HAlpha	275.91155
N2 6583	6.59362
He1 6678	3.22819
S2 6716	1.79753
H10	5.49901
He2 5411	0.44419
Ar4 4740	2.71403
S2 6731	2.15911
