H-a              6564.25     321.0
H-b              4862.32     100.0
H-g              4341.10      42.8
H-d              4102.32      21.9
[O III] 4363     4363.88      68.9
[O III] 4959     4959.85      40.2
[O III] 5007     5007.69     111.6
[Ne III] 3869    3869.49     240.6
He I 5876        5876.62      15.9
[N II] 6584      6584.93       4.6
He I 6678        6679.38       1.6
