Species,Relative Flux
He1 6678,1.93829
S2 6716,69.42047
H10,5.71018
He2 5411,13.06615
Ar4 4740,4.04821
Species,Relative Flux
O2 3726,0.00000
O2 3728,0.00000
O2 3729,0.00000
HEta,8.04132
Ne3 3868,0.00025
HZeta,11.62196
Ne3 3968,0.00008
HEpsilon,17.83087
HDelta,26.63849
HGamma,50.33214
O3 4363,0.00015
He1 4471,0.00005
He2 4685,282.62129
Ar4 4711,0.00462
HBeta,100.00000
O3 4961,0.00082
O3 5007,0.00244
He1 5876,0.00104
HAlpha,256.97404
N2 6583,0.00000
He1 6678,0.00028
S2 6716,0.00000
H10,5.78598
He2 5411,28.57424
Ar4 4740,0.00356
Species,Relative Flux
O2 3726,119.01020
O2 3728,134.41539
O2 3729,134.41539
HEta,7.88278
Ne3 3868,48.80956
HZeta,11.31888
Ne3 3968,14.81451
HEpsilon,17.20392
HDelta,26.49109
HGamma,48.97784
O3 4363,3.73122
He1 4471,0.29815
He2 4685,129.20631
Ar4 4711,5.54740
HBeta,100.00000
O3 4961,133.46712
O3 5007,398.20890
He1 5876,6.92040
HAlpha,267.93531
N2 6583,289.71181
He1 6678,1.93829
S2 6716,69.42047
H10,5.71018
He2 5411,13.06615
Ar4 4740,4.04821
Species,Relative Flux
O2 3726,119.01020
O2 3728,134.41539
O2 3729,134.41539
HEta,7.88278
Ne3 3868,48.80956
HZeta,11.31888
Ne3 3968,14.81451
HEpsilon,17.20392
HDelta,26.49109
HGamma,48.97784
O3 4363,3.73122
He1 4471,0.29815
He2 4685,129.20631
Ar4 4711,5.54740
HBeta,100.00000
O3 4961,133.46712
O3 5007,398.20890
He1 5876,6.92040
HAlpha,267.93531
N2 6583,289.71181
He1 6678,1.93829
S2 6716,69.42047
H10,5.71018
He2 5411,13.06615
Ar4 4740,4.04821
Species,Relative Flux
O2 3726,119.01020
O2 3728,134.41539
O2 3729,134.41539
HEta,7.88278
Ne3 3868,48.80956
HZeta,11.31888
Ne3 3968,14.81451
HEpsilon,17.20392
HDelta,26.49109
HGamma,48.97784
O3 4363,3.73122
He1 4471,0.29815
He2 4685,129.20631
Ar4 4711,5.54740
HBeta,100.00000
O3 4961,133.46712
O3 5007,398.20890
He1 5876,6.92040
HAlpha,267.93531
N2 6583,289.71181
He1 6678,1.93829
S2 6716,69.42047
H10,5.71018
He2 5411,13.06615
Ar4 4740,4.04821
Species,Relative Flux
O2 3726,119.01020
O2 3728,134.41539
O2 3729,134.41539
HEta,7.88278
Ne3 3868,48.80956
HZeta,11.31888
Ne3 3968,14.81451
HEpsilon,17.20392
HDelta,26.49109
HGamma,48.97784
O3 4363,3.73122
He1 4471,0.29815
He2 4685,129.20631
Ar4 4711,5.54740
HBeta,100.00000
O3 4961,133.46712
O3 5007,398.20890
He1 5876,6.92040
HAlpha,267.93531
N2 6583,289.71181
He1 6678,1.93829
S2 6716,69.42047
H10,5.71018
He2 5411,13.06615
Ar4 4740,4.04821
Species,Relative Flux
O2 3726,148.16285
O2 3728,157.87017
O2 3729,157.87017
HEta,7.49572
Ne3 3868,72.85686
HZeta,10.72988
Ne3 3968,22.11336
HEpsilon,16.19430
HDelta,26.25734
HGamma,47.29148
O3 4363,4.47740
He1 4471,0.41574
He2 4685,24.85653
Ar4 4711,2.83638
HBeta,100.00000
O3 4961,259.91629
O3 5007,775.47805
He1 5876,9.69901
HAlpha,278.23253
N2 6583,278.91151
He1 6678,2.70334
S2 6716,45.50712
H10,5.45306
He2 5411,2.12662
Ar4 4740,2.03186
Species,Relative Flux
O2 3726,91.07615
O2 3728,96.03305
O2 3729,96.03305
HEta,7.55015
Ne3 3868,69.63203
HZeta,10.79836
Ne3 3968,21.13456
HEpsilon,16.28081
HDelta,26.36268
HGamma,47.37375
O3 4363,4.93401
He1 4471,0.34549
He2 4685,35.91701
Ar4 4711,4.06383
HBeta,100.00000
O3 4961,273.11827
O3 5007,814.87079
He1 5876,8.06529
HAlpha,277.40583
N2 6583,165.81558
He1 6678,2.24679
S2 6716,25.37433
H10,5.49653
He2 5411,3.07364
Ar4 4740,2.91335
Species,Relative Flux
O2 3726,365.31361
O2 3728,402.49819
O2 3729,402.49819
HEta,7.42447
Ne3 3868,85.14262
HZeta,10.64482
Ne3 3968,25.84235
HEpsilon,16.09876
HDelta,26.07185
HGamma,47.24011
O3 4363,2.76371
He1 4471,0.56997
He2 4685,0.67453
Ar4 4711,0.10554
HBeta,100.00000
O3 4961,169.27382
O3 5007,505.03785
He1 5876,13.23975
HAlpha,279.38401
N2 6583,713.66698
He1 6678,3.70231
S2 6716,112.68229
H10,5.39250
He2 5411,0.06087
Ar4 4740,0.07497
Species,Relative Flux
O2 3726,371.87657
O2 3728,410.41534
O2 3729,410.41534
HEta,7.41702
Ne3 3868,85.78996
HZeta,10.63477
Ne3 3968,26.03885
HEpsilon,16.08394
HDelta,26.06159
HGamma,47.22628
O3 4363,2.68221
He1 4471,0.57430
He2 4685,0.63450
Ar4 4711,0.10163
HBeta,100.00000
O3 4961,164.32251
O3 5007,490.26446
He1 5876,13.33975
HAlpha,279.52926
N2 6583,730.38809
He1 6678,3.73081
S2 6716,117.79229
H10,5.38692
He2 5411,0.05696
Ar4 4740,0.07220
Species,Relative Flux
O2 3726,370.40843
O2 3728,409.99189
O2 3729,409.99189
HEta,7.39801
Ne3 3868,86.14483
HZeta,10.60922
