wavelength                  f_lam                  e_lam              telcor
 3800.499999999961  4.366577352114537e-16  2.102612446985095e-17                 1.0
3801.1999999999607  4.498566369020271e-16 2.1151628149702096e-17                 1.0
3801.8999999999605 4.4152517611622835e-16 2.1135445165734155e-17                 1.0
3802.5999999999603   4.54339698778951e-16 2.1396207085765803e-17                 1.0
  3803.29999999996  4.754198579288048e-16 2.1695782768465718e-17                 1.0
  3803.99999999996  4.778952888565366e-16 2.1502059302661914e-17                 1.0
  3804.69999999996 4.3722863628781696e-16 2.1314069704160402e-17                 1.0
3805.3999999999596  4.556691577112141e-16  2.107497196570475e-17                 1.0
3806.0999999999594  4.501661148087886e-16  2.100993625822264e-17                 1.0
3806.7999999999593  4.693799841073196e-16  2.087595847465505e-17                 1.0
 3807.499999999959  4.666262114811267e-16  2.100528169804407e-17                 1.0
 3808.199999999959   4.68933036172813e-16 2.1259555080995982e-17                 1.0
3808.8999999999587  4.597165525361781e-16 2.1377662681825247e-17                 1.0
3809.5999999999585  4.877138771110974e-16 2.1379526750037346e-17                 1.0
3810.2999999999583  4.866392293339379e-16 2.1191563728138292e-17                 1.0
 3810.999999999958  4.745319665325512e-16 2.1059425712619744e-17                 1.0
 3811.699999999958  4.715173270795348e-16 2.0913058719727708e-17                 1.0
 3812.399999999958  4.608847918854248e-16  2.096849687790484e-17                 1.0
3813.0999999999576  4.688116032592578e-16 2.0984193220759345e-17                 1.0
3813.7999999999574  4.696827672568155e-16 2.1144800743438826e-17                 1.0
3814.4999999999573  4.708729076203883e-16  2.106490112533055e-17                 1.0
 3815.199999999957  4.561960692651385e-16 2.0474646987286694e-17                 1.0
 3815.899999999957  4.428791279181449e-16 2.0280207433907387e-17                 1.0
3816.5999999999567  4.451108831211642e-16  2.027613418020373e-17                 1.0
3817.2999999999565  4.738158296055461e-16 2.0638449424407415e-17                 1.0
3817.9999999999563  4.860843365648907e-16 2.0738924968566135e-17                 1.0
 3818.699999999956  4.876277609617803e-16 2.0852775675647682e-17                 1.0
 3819.399999999956  4.869159698165699e-16 2.0535628899722045e-17                 1.0
 3820.099999999956  5.011910574252936e-16 2.0210846603610695e-17                 1.0
3820.7999999999556  4.903329576935167e-16 1.9990636776717886e-17                 1.0
3821.4999999999554  4.626444199781174e-16  2.002634045487169e-17                 1.0
3822.1999999999553  4.582976500986673e-16  2.028181529090946e-17                 1.0
 3822.899999999955  4.678559937850149e-16 2.0224043125925178e-17                 1.0
 3823.599999999955  4.606640569649053e-16  2.006004084171406e-17                 1.0
3824.2999999999547  4.481223960934607e-16  1.975544160091135e-17                 1.0
3824.9999999999545  4.570524563984842e-16 1.9785796357853253e-17                 1.0
3825.6999999999543  4.913981790041142e-16 1.9627564969234393e-17                 1.0
 3826.399999999954  4.709327698515092e-16 1.9342565551907166e-17                 1.0
 3827.099999999954  4.566232583783591e-16 1.9474506770438352e-17                 1.0
 3827.799999999954  4.701997042084746e-16  1.944097753347977e-17                 1.0
3828.4999999999536   4.80442154708115e-16 1.9616971541215182e-17                 1.0
3829.1999999999534  4.578179974975899e-16 1.9793845522563196e-17                 1.0
3829.8999999999533   4.45930588321539e-16 2.0019420641444332e-17                 1.0
 3830.599999999953  4.545296201038394e-16 2.0238094773392628e-17                 1.0
 3831.299999999953  4.664080380108495e-16 1.9907151488286876e-17                 1.0
3831.9999999999527  4.684941550020264e-16  1.962685615300336e-17                 1.0
3832.6999999999525  4.603851502543702e-16  1.926886003553824e-17                 1.0
3833.3999999999523  4.504392114561588e-16  1.919738732575379e-17                 1.0
 3834.099999999952  4.467064209523706e-16 1.9034428000825114e-17                 1.0
 3834.799999999952  4.857777277671932e-16 1.9472034695251266e-17                 1.0
 3835.499999999952  4.929543996447301e-16 2.0017934196555644e-17                 1.0
3836.1999999999516  4.856438330135114e-16 2.0407115128959484e-17                 1.0
3836.8999999999514  4.834593128733471e-16 2.0036180711206983e-17                 1.0
3837.5999999999513  4.593197078234294e-16 1.9195618529479622e-17                 1.0
 3838.299999999951  4.593257854557937e-16 1.8980990940210214e-17                 1.0
 3838.999999999951  4.679520387863099e-16 1.8654362189030392e-17                 1.0
3839.6999999999507  4.608498375032004e-16 1.8725123076778965e-17                 1.0
3840.3999999999505  4.526123669210757e-16 1.8714861524255807e-17                 1.0
3841.0999999999503    4.5987788841218e-16  1.924664704644525e-17                 1.0
  3841.79999999995  4.468164332238931e-16 1.9530903035379784e-17                 1.0
  3842.49999999995  4.558306734549332e-16  1.970314601981813e-17                 1.0
  3843.19999999995  4.642273231261976e-16 1.9443168774948192e-17                 1.0
3843.8999999999496  4.578840294596111e-16 1.9215260127233974e-17                 1.0
3844.5999999999494  4.620379514950736e-16 1.9331759953583602e-17                 1.0
3845.2999999999493  4.633706655973784e-16 1.9398638037508534e-17                 1.0
 3845.999999999949  4.734971958018294e-16  1.952035452198808e-17                 1.0
 3846.699999999949  4.773437510367901e-16 1.9525605201429114e-17                 1.0
3847.3999999999487  4.846435813262316e-16 1.9751937924671272e-17                 1.0
3848.0999999999485  4.618909992846515e-16 1.9449417121735034e-17                 1.0
3848.7999999999483  4.744745847492715e-16  1.913565997194321e-17                 1.0
 3849.499999999948  4.959449414861103e-16 1.9051876004474643e-17                 1.0
 3850.199999999948  4.791293297170869e-16 1.8770264309983295e-17                 1.0
 3850.899999999948  4.778373977070765e-16   1.91089332534624e-17                 1.0
3851.5999999999476   4.59734843233571e-16 1.9037600419703958e-17                 1.0
3852.2999999999474  4.627064409725411e-16  1.941141805896356e-17                 1.0
3852.9999999999472  4.881396907883819e-16  1.936314076542223e-17                 1.0
 3853.699999999947  4.728149976019748e-16 1.8898652465325177e-17                 1.0
 3854.399999999947  4.507935571369557e-16  1.867194686451963e-17                 1.0
3855.0999999999467  4.560755074403351e-16 1.8440363121700096e-17                 1.0
3855.7999999999465  4.788839142920079e-16 1.8506786589722567e-17                 1.0
3856.4999999999463  4.731113591810625e-16 1.8193683091321706e-17                 1.0
 3857.199999999946  4.673635941066379e-16  1.841915703875398e-17                 1.0
 3857.899999999946  4.497762567088659e-16  1.837269914084298e-17                 1.0
